video_id,question_id,type,question_content,templ_values,question_deleted,anser,question,Quest_hindi,ans_hindi,hinglish_question
00000188,87,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""guzheng""]",0,yes,Is the guzheng in the video always playing?,क्या वीडियो में गुझेंग हमेशा बजता रहता है?,हाँ,kya video me guzhheg kabhi playing hai ?
00000109,88,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""guzheng""]",0,yes,Is the guzheng in the video always playing?,क्या वीडियो में गुझेंग हमेशा बजता रहता है?,हाँ,kya video me guzhheg kabhi playing hai ?
00000112,99,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""banjo""]",0,yes,Is the banjo in the video always playing?,क्या वीडियो में बैंजो हमेशा बजता रहता है?,हाँ,kya video me har roz playing ho raha hai ?
00000085,101,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00000143,105,"[""Audio-Visual"", ""Comparative""]",Is the <Object> on the <LR> more rhythmic than the <Object> on the <LR>?,"[""violin"", ""left"", ""electric_bass"", ""middle""]",0,yes,Is the violin on the left more rhythmic than the electric_bass on the middle?,क्या बायीं ओर का वायलिन बीच के इलेक्ट्रिक_बास की तुलना में अधिक लयबद्ध है?,हाँ,kya the Goline on the letter_bass se bachne wale aur samajhic hai ?
00000090,117,"[""Audio-Visual"", ""Comparative""]",Is the instrument on the <LR> more rhythmic than the instrument on the <LR>?,"[""right"", ""left""]",0,yes,Is the instrument on the right more rhythmic than the instrument on the left?,क्या दाहिनी ओर का वाद्य बायीं ओर के वाद्य से अधिक लयबद्ध है?,हाँ,kya pehle koi acha samajh se zyada samajh se zyada samay hai?
00000244,120,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""drum""]",0,yes,Is the drum in the video always playing?,क्या वीडियो में ड्रम हमेशा बजता रहता है?,हाँ,kya video me sabse chal raha hai?
00000241,121,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00000220,123,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00000197,124,"[""Audio-Visual"", ""Comparative""]",Is the instrument on the <LR> louder than the instrument on the <LR>?,"[""left"", ""right""]",0,yes,Is the instrument on the left louder than the instrument on the right?,क्या बायीं ओर का वाद्ययंत्र दाहिनी ओर के वाद्ययंत्र की तुलना में अधिक तेज़ है?,हाँ,kya leftick par use on the spant se bacha hai ?
00000296,128,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""guzheng""]",0,yes,Is the guzheng in the video always playing?,क्या वीडियो में गुझेंग हमेशा बजता रहता है?,हाँ,kya video me guzhheg kabhi playing hai ?
00000162,129,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""pipa""]",0,yes,Is the pipa in the video always playing?,क्या वीडियो में पीपा हमेशा बजता रहता है?,हाँ,kya pipa me hamesha video playing hai?
00000145,130,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""electric_bass""]",0,no,Is the electric_bass in the video always playing?,क्या वीडियो में इलेक्ट्रिक बास हमेशा बजता रहता है?,नहीं,kya video me electric_bas hames hamesha playing hai ?
00000275,134,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,no,Is there a voiceover?,क्या कोई वॉयसओवर है?,नहीं,kya koi voiceover hai?
00000153,140,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""congas""]",0,no,Is the congas in the video always playing?,क्या वीडियो में कॉंगास हमेशा बजता रहता है?,नहीं,kya video me congas hamesha playing hai?
00000188,144,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00000245,145,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,no,Is there a voiceover?,क्या कोई वॉयसओवर है?,नहीं,kya koi voiceover hai?
00000026,147,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00000074,149,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""cello""]",0,yes,Is the cello in the video always playing?,क्या वीडियो में सेलो हमेशा बजता रहता है?,हाँ,kya video me cello hamesha playing hai ?
00000189,151,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""piano""]",0,yes,Is the piano in the video always playing?,क्या वीडियो में पियानो हमेशा बजता रहता है?,हाँ,kya piano me hamesha video playing hai?
00000114,152,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""erhu""]",0,no,Is the erhu in the video always playing?,क्या वीडियो में एर्हू हमेशा बजता रहता है?,नहीं,kya whoh in the video already playing ho rahi hai ?
00000299,158,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00000076,159,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""flute""]",0,yes,Is the flute in the video always playing?,क्या वीडियो में बांसुरी हमेशा बजती रहती है?,हाँ,kya video me fill hamesha playing hai?
00000046,161,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""congas""]",0,yes,Is the congas in the video always playing?,क्या वीडियो में कॉंगास हमेशा बजता रहता है?,हाँ,kya video me congas hamesha playing hai?
00000210,164,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""cello""]",0,yes,Is the cello in the video always playing?,क्या वीडियो में सेलो हमेशा बजता रहता है?,हाँ,kya video me cello hamesha playing hai ?
00000150,166,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""clarinet""]",0,yes,Is the clarinet in the video always playing?,क्या वीडियो में शहनाई हमेशा बजती रहती है?,हाँ,kya video me clarint hamesha playing hai ?
00000232,168,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""ukulele""]",0,yes,Is the ukulele in the video always playing?,क्या वीडियो में यूकुलेले हमेशा बजता रहता है?,हाँ,kya laukle me hamesha video playing ho raha hai ?
00000067,171,"[""Audio-Visual"", ""Comparative""]",Is the instrument on the <LR> more rhythmic than the instrument on the <LR>?,"[""right"", ""left""]",0,no,Is the instrument on the right more rhythmic than the instrument on the left?,क्या दाहिनी ओर का वाद्य बायीं ओर के वाद्य से अधिक लयबद्ध है?,नहीं,kya pehle koi acha samajh se zyada samajh se zyada samay hai?
00000063,175,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""piano""]",0,yes,Is the piano in the video always playing?,क्या वीडियो में पियानो हमेशा बजता रहता है?,हाँ,kya piano me hamesha video playing hai?
00000277,176,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,no,Is there a voiceover?,क्या कोई वॉयसओवर है?,नहीं,kya koi voiceover hai?
00000104,178,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00000033,182,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""ukulele""]",0,yes,Is the ukulele in the video always playing?,क्या वीडियो में यूकुलेले हमेशा बजता रहता है?,हाँ,kya laukle me hamesha video playing ho raha hai ?
00000100,185,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,yes,Is there a voiceover?,क्या कोई वॉयसओवर है?,हाँ,kya koi voiceover hai?
00000058,192,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""tuba""]",0,yes,Is the tuba in the video always playing?,क्या वीडियो में टुबा हमेशा बजता रहता है?,हाँ,kya tea video me hamesha playing hai?
00000265,193,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""bagpipe""]",0,yes,Is the bagpipe in the video always playing?,क्या वीडियो में बैगपाइप हमेशा बजता रहता है?,हाँ,kya video me bagppe hamesha playing hai?
00000105,197,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,no,Is there a voiceover?,क्या कोई वॉयसओवर है?,नहीं,kya koi voiceover hai?
00000100,202,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""cello""]",0,yes,Is the cello in the video always playing?,क्या वीडियो में सेलो हमेशा बजता रहता है?,हाँ,kya video me cello hamesha playing hai ?
00000159,204,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""pipa""]",0,no,Is the pipa in the video always playing?,क्या वीडियो में पीपा हमेशा बजता रहता है?,नहीं,kya pipa me hamesha video playing hai?
00000184,205,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00000164,209,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""piano""]",0,yes,Is the piano in the video always playing?,क्या वीडियो में पियानो हमेशा बजता रहता है?,हाँ,kya piano me hamesha video playing hai?
00000045,211,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""flute""]",0,yes,Is the flute in the video always playing?,क्या वीडियो में बांसुरी हमेशा बजती रहती है?,हाँ,kya video me fill hamesha playing hai?
00000132,212,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00000226,214,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,no,Is there a voiceover?,क्या कोई वॉयसओवर है?,नहीं,kya koi voiceover hai?
00002314,220,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""bagpipe""]",0,yes,Is the bagpipe in the video always playing?,क्या वीडियो में बैगपाइप हमेशा बजता रहता है?,हाँ,kya video me bagppe hamesha playing hai?
00005472,233,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""accordion""]",0,yes,Is the accordion in the video always playing?,क्या वीडियो में अकॉर्डियन हमेशा बजता रहता है?,हाँ,kya video me already playing hai?
00002259,238,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00003739,243,"[""Audio-Visual"", ""Comparative""]",Is the instrument on the <LR> more rhythmic than the instrument on the <LR>?,"[""left"", ""right""]",0,no,Is the instrument on the left more rhythmic than the instrument on the right?,क्या बायीं ओर का वाद्य दायीं ओर के वाद्य से अधिक लयबद्ध है?,नहीं,kya abhi se zyada samajh se bacha hai use pehle se zyada samay kar sakta hai ?
00003498,252,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""clarinet""]",0,yes,Is the clarinet in the video always playing?,क्या वीडियो में शहनाई हमेशा बजती रहती है?,हाँ,kya video me clarint hamesha playing hai ?
00006109,258,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""ukulele""]",0,yes,Is the ukulele in the video always playing?,क्या वीडियो में यूकुलेले हमेशा बजता रहता है?,हाँ,kya laukle me hamesha video playing ho raha hai ?
00002657,279,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00008212,289,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""piano""]",0,yes,Is the piano in the video always playing?,क्या वीडियो में पियानो हमेशा बजता रहता है?,हाँ,kya piano me hamesha video playing hai?
00000589,301,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""congas""]",0,yes,Is the congas in the video always playing?,क्या वीडियो में कॉंगास हमेशा बजता रहता है?,हाँ,kya video me congas hamesha playing hai?
00004435,317,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00004224,336,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""xylophone""]",0,yes,Is the xylophone in the video always playing?,क्या वीडियो में जाइलोफोन हमेशा बजता रहता है?,हाँ,kya xyloph me hamesha video playing kar raha hai?
00000648,340,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""bagpipe""]",0,no,Is the bagpipe in the video always playing?,क्या वीडियो में बैगपाइप हमेशा बजता रहता है?,नहीं,kya video me bagppe hamesha playing hai?
00008619,345,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""bassoon""]",0,yes,Is the bassoon in the video always playing?,क्या वीडियो में अलगोजा हमेशा बजता रहता है?,हाँ,kya video me basson hamesha playing hai ?
00008717,353,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""drum""]",0,yes,Is the drum in the video always playing?,क्या वीडियो में ड्रम हमेशा बजता रहता है?,हाँ,kya video me sabse chal raha hai?
00006585,365,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""ukulele""]",0,yes,Is the ukulele in the video always playing?,क्या वीडियो में यूकुलेले हमेशा बजता रहता है?,हाँ,kya laukle me hamesha video playing ho raha hai ?
00004849,372,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""trumpet""]",0,yes,Is the trumpet in the video always playing?,क्या वीडियो में तुरही हमेशा बजती रहती है?,हाँ,kya video me rush me hamesha playing hai?
00001801,388,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""xylophone""]",0,yes,Is the xylophone in the video always playing?,क्या वीडियो में जाइलोफोन हमेशा बजता रहता है?,हाँ,kya xyloph me hamesha video playing kar raha hai?
00001348,403,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""congas""]",0,yes,Is the congas in the video always playing?,क्या वीडियो में कॉंगास हमेशा बजता रहता है?,हाँ,kya video me congas hamesha playing hai?
00006595,416,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""saxophone""]",0,yes,Is the saxophone in the video always playing?,क्या वीडियो में सैक्सोफोन हमेशा बजता रहता है?,हाँ,kya saxohone video me hamesha playing hai ?
00001507,425,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""trumpet""]",0,no,Is the trumpet in the video always playing?,क्या वीडियो में तुरही हमेशा बजती रहती है?,नहीं,kya video me rush me hamesha playing hai?
00002352,432,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,no,Is there a voiceover?,क्या कोई वॉयसओवर है?,नहीं,kya koi voiceover hai?
00002293,445,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""drum""]",0,yes,Is the drum in the video always playing?,क्या वीडियो में ड्रम हमेशा बजता रहता है?,हाँ,kya video me sabse chal raha hai?
00000661,446,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""acoustic_guitar""]",0,yes,Is the acoustic_guitar in the video always playing?,क्या वीडियो में ध्वनिक_गिटार हमेशा बजता रहता है?,हाँ,kya video me acustic_ guitar hamesha playing hai ?
00003402,478,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""saxophone""]",0,yes,Is the saxophone in the video always playing?,क्या वीडियो में सैक्सोफोन हमेशा बजता रहता है?,हाँ,kya saxohone video me hamesha playing hai ?
00000342,488,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""trumpet""]",0,yes,Is the trumpet in the video always playing?,क्या वीडियो में तुरही हमेशा बजती रहती है?,हाँ,kya video me rush me hamesha playing hai?
00003407,512,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""bagpipe""]",0,yes,Is the bagpipe in the video always playing?,क्या वीडियो में बैगपाइप हमेशा बजता रहता है?,हाँ,kya video me bagppe hamesha playing hai?
00007402,518,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00001285,519,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""cello""]",0,yes,Is the cello in the video always playing?,क्या वीडियो में सेलो हमेशा बजता रहता है?,हाँ,kya video me cello hamesha playing hai ?
00006411,565,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""drum""]",0,yes,Is the drum in the video always playing?,क्या वीडियो में ड्रम हमेशा बजता रहता है?,हाँ,kya video me sabse chal raha hai?
00003218,612,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00001679,649,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""suona""]",0,yes,Is the suona in the video always playing?,क्या वीडियो में सुओना हमेशा बजता रहता है?,हाँ,kya video me sanna hamesha playing hai ?
00001489,671,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""saxophone""]",0,yes,Is the saxophone in the video always playing?,क्या वीडियो में सैक्सोफोन हमेशा बजता रहता है?,हाँ,kya saxohone video me hamesha playing hai ?
00007299,679,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""ukulele""]",0,yes,Is the ukulele in the video always playing?,क्या वीडियो में यूकुलेले हमेशा बजता रहता है?,हाँ,kya laukle me hamesha video playing ho raha hai ?
00003995,728,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""erhu""]",0,yes,Is the erhu in the video always playing?,क्या वीडियो में एर्हू हमेशा बजता रहता है?,हाँ,kya whoh in the video already playing ho rahi hai ?
00001525,730,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""piano""]",0,yes,Is the piano in the video always playing?,क्या वीडियो में पियानो हमेशा बजता रहता है?,हाँ,kya piano me hamesha video playing hai?
00001072,738,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""flute""]",0,no,Is the flute in the video always playing?,क्या वीडियो में बांसुरी हमेशा बजती रहती है?,नहीं,kya video me fill hamesha playing hai?
00007858,745,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00002042,748,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,yes,Is there a voiceover?,क्या कोई वॉयसओवर है?,हाँ,kya koi voiceover hai?
00005570,751,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00005873,756,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00001343,765,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""piano""]",0,yes,Is the piano in the video always playing?,क्या वीडियो में पियानो हमेशा बजता रहता है?,हाँ,kya piano me hamesha video playing hai?
00005186,768,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00003174,779,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""pipa""]",0,yes,Is the pipa in the video always playing?,क्या वीडियो में पीपा हमेशा बजता रहता है?,हाँ,kya pipa me hamesha video playing hai?
00003262,787,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,no,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,नहीं,kya Golinn me video me hamesha playing hai?
00007862,788,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""saxophone""]",0,yes,Is the saxophone in the video always playing?,क्या वीडियो में सैक्सोफोन हमेशा बजता रहता है?,हाँ,kya saxohone video me hamesha playing hai ?
00008075,796,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""piano""]",0,yes,Is the piano in the video always playing?,क्या वीडियो में पियानो हमेशा बजता रहता है?,हाँ,kya piano me hamesha video playing hai?
00002243,807,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""xylophone""]",0,yes,Is the xylophone in the video always playing?,क्या वीडियो में जाइलोफोन हमेशा बजता रहता है?,हाँ,kya xyloph me hamesha video playing kar raha hai?
00002442,808,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00002347,811,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00007306,812,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""tuba""]",0,no,Is the tuba in the video always playing?,क्या वीडियो में टुबा हमेशा बजता रहता है?,नहीं,kya tea video me hamesha playing hai?
00001472,819,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""accordion""]",0,yes,Is the accordion in the video always playing?,क्या वीडियो में अकॉर्डियन हमेशा बजता रहता है?,हाँ,kya video me already playing hai?
00001100,821,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""clarinet""]",0,no,Is the clarinet in the video always playing?,क्या वीडियो में शहनाई हमेशा बजती रहती है?,नहीं,kya video me clarint hamesha playing hai ?
00006623,822,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""pipa""]",0,yes,Is the pipa in the video always playing?,क्या वीडियो में पीपा हमेशा बजता रहता है?,हाँ,kya pipa me hamesha video playing hai?
00007606,824,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
